,0,1
*0,32,40
1,83,*33
10,6,44
11,75,85
12,63,63
*13,*64,*33
14,32,21
*15,32,*28
16,12,49
17,38,43
18,*15,*23
19,4,39
2,*52,*73
20,88,11
21,57,90
*22,57,67
*23,32,*33
24,17,*33
25,47,9
26,75,*34
*27,31,94
*28,57,90
29,47,*27
3,*52,*22
30,76,82
31,74,*84
32,4,66
*33,*33,*33
*34,19,*33
*35,32,*61
*36,17,*33
*37,88,11
38,63,62
39,*55,*8
4,45,71
40,41,48
41,74,*69
*42,76,82
43,*93,*13
44,*35,*34
45,72,20
46,32,*61
47,59,65
48,87,*36
49,56,5
5,32,*33
50,14,5
51,3,79
*52,4,51
*53,32,21
*54,31,26
*55,86,89
56,32,*28
57,74,60
58,31,26
59,45,45
6,81,*91
60,77,10
*61,41,48
62,16,*42
63,72,*37
*64,38,51
65,*53,*23
66,78,1
67,2,7
68,2,*70
*69,77,10
7,*80,*33
*70,*80,*33
71,16,30
→72,59,50
*73,41,68
74,72,58
75,32,40
76,81,29
77,12,18
78,86,89
79,*64,*33
*8,83,*33
*80,38,43
81,72,*54
82,46,85
83,38,51
*84,47,9
85,19,*33
86,4,51
87,86,92
88,74,25
89,57,67
9,31,94
90,87,24
*91,47,*27
92,41,68
*93,*52,*22
94,*0,*34
